experiment,tier,channel,accuracy,macro_f1,weighted_f1
B1_survey_period_covid_and_post,B1,with_whom,0.9848,0.9777,0.9848
B1_survey_period_pre_covid,B1,activity,0.9064,0.8393,0.9061
B1_survey_period_pre_covid,B1,enjoyment,0.9772,0.9737,0.9772
B1_survey_period_pre_covid,B1,location,0.9804,0.9696,0.9804
B1_survey_period_pre_covid,B1,with_whom,0.9819,0.9782,0.9820
B1_sex_male,B1,activity,0.9131,0.8647,0.9131
B1_sex_male,B1,enjoyment,0.9805,0.9796,0.9805
B1_sex_male,B1,location,0.9862,0.9670,0.9862
B1_sex_male,B1,with_whom,0.9860,0.9678,0.9860
B1_sex_female,B1,activity,0.9085,0.8668,0.9085
B1_sex_female,B1,enjoyment,0.9799,0.9710,0.9799
B1_sex_female,B1,location,0.9879,0.9712,0.9879
B1_sex_female,B1,with_whom,0.9858,0.9781,0.9858
B1_is_weekend_weekend,B1,activity,0.9108,0.8694,0.9108
B1_is_weekend_weekend,B1,enjoyment,0.9807,0.9712,0.9807
B1_is_weekend_weekend,B1,location,0.9878,0.9725,0.9878
B1_is_weekend_weekend,B1,with_whom,0.9866,0.9756,0.9866
B1_is_weekend_weekday,B1,activity,0.9136,0.8600,0.9137
B1_is_weekend_weekday,B1,enjoyment,0.9834,0.9793,0.9834
B1_is_weekend_weekday,B1,location,0.9860,0.9653,0.9860
B1_is_weekend_weekday,B1,with_whom,0.9858,0.9772,0.9858
